35	40	50	60	70	80	90	100	110	120	130	140
10	9	7	6	5	4	4	3	3	3	3	-1
19	16	13	11	9	8	7	6	6	5	5	4
25	22	17	14	12	10	9	8	7	6	6	5
29	25	19	16	13	11	10	9	8	7	7	6
32	27	21	17	15	13	11	10	9	8	-1	7
36	31	24	19	16	14	12	11	10	9	8	8
40	34	26	21	18	15	13	12	11	10	9	0
44	37	28	23	19	17	15	13	12	11	10	0
48	40	31	25	21	18	16	14	13	-1	0	0
52	44	33	27	22	19	17	15	-1	12	0	0
57	48	36	29	24	21	18	16	14	13	0	0
62	51	39	31	26	22	19	17	15	0	0	0
67	55	41	33	27	23	21	18	16	0	0	0
73	60	44	35	29	25	22	19	0	0	0	0
79	64	47	37	31	26	23	20	0	0	0	0
85	69	50	39	33	28	24	0	0	0	0	0
92	74	53	42	35	29	25	0	0	0	0	0
100	79	57	44	36	30	0	0	0	0	0	0
108	85	60	47	38	0	0	0	0	0	0	0
117	91	63	49	40	0	0	0	0	0	0	0
127	97	67	52	0	0	0	0	0	0	0	0
139	104	71	54	0	0	0	0	0	0	0	0
152	111	75	55	0	0	0	0	0	0	0	0
168	120	80	0	0	0	0	0	0	0	0	0
188	129	0	0	0	0	0	0	0	0	0	0
205	140	0	0	0	0	0	0	0	0	0	0
